"la_stud","sex","nonwhite","first.gen","finaid_ever","act_new","hs_gpa","credits_entry","grade","fail"
1,0,0,0,1,25,3.661,0,2.3,0
1,1,1,1,1,28,4,27,2.7,0
0,1,0,0,0,27,3.575,20,1.7,0
0,0,1,0,1,20,3.286,0,1.7,0
1,0,0,0,0,31,4,14,3.7,0
1,1,0,0,0,27,3.75,0,3,0
1,0,1,0,1,30,3.596,5,4,0
0,0,0,0,1,30,4,15,2,0
1,0,1,0,1,28,3.738,3,2.7,0
0,1,0,0,1,30,4,20,3.3,0
1,0,0,0,0,27,3.585,0,2.7,0
0,1,0,0,0,28,4,3,3.3,0
1,1,1,0,1,26,3.485,3,1,1
1,1,0,0,0,27,3.551,13,2.3,0
1,0,0,0,1,25,3.355,0,2.7,0
0,1,0,0,1,23,2.92,0,0,1
0,1,0,1,0,23,3.783,9,0,1
1,0,0,0,0,25,3.587,0,2.3,0
1,0,0,0,1,31,4,5,4,0
1,0,0,0,0,27,3.528,18,2,0
1,0,0,1,1,27,2.654,0,0,1
1,0,0,0,1,29,3.1,0,0,1
1,0,0,0,0,24,3.262,0,2.7,0
1,0,0,1,1,24,3.333,0,1,1
1,1,1,0,0,26,3.1,11,2.3,0
1,0,0,0,1,24,3.342,0,3.7,0
1,0,1,0,1,29,3.574,14,2.7,0
1,1,0,0,1,25,4,12,3,0
0,0,0,0,1,26,3.439,0,1.7,0
0,1,0,0,1,20,4,0,1.7,0
0,0,0,0,0,24,3.75,0,2.3,0
1,1,0,0,0,31,3.26,0,3.7,0
1,1,0,0,0,31,4,31,4,0
0,0,0,0,1,23,3.474,9,4,0
1,1,0,0,0,22,3.904,0,3,0
1,0,0,0,1,21,3.59,0,3,0
0,0,1,1,1,21,3.294,0,2.7,0
0,1,0,0,1,26,4,0,3.7,0
1,0,0,0,0,32,2.532,0,2.7,0
1,1,0,0,0,25,3.457,27,3,0
1,0,1,1,0,28,3.8,0,1,1
0,1,0,0,0,25,3.97,0,4,0
0,1,0,0,0,28,4,11,3.3,0
